x_m,y_m,throttle,heading_rad
1.065696383800748270e+00,-2.556791229097717277e+00,9.978332018693328864e-01,3.073431644062215362e+00
1.062385473500308430e+00,-2.606649626947490361e+00,9.915535415376777184e-01,3.070319384195713042e+00
1.058920386043661566e+00,-2.656497100067113148e+00,9.852338568680115705e-01,3.067158871949175580e+00
1.055298309020949565e+00,-2.706336029855044956e+00,9.788733726596733353e-01,3.063950031619556036e+00
1.051516586226216132e+00,-2.756166126275335415e+00,9.724712883603453539e-01,3.060691532836453455e+00
1.047572834068037473e+00,-2.805983502559314946e+00,9.660267768899246654e-01,3.057382349557159706e+00
1.043465042186330960e+00,-2.855780179534471053e+00,9.595389833932973511e-01,3.054021619368834539e+00
1.039189747958827903e+00,-2.905565730584469097e+00,9.530070239166912316e-01,3.050609146704505115e+00
1.034744240835923312e+00,-2.955339772528873699e+00,9.464299840018041143e-01,3.047143954703034563e+00
1.030125791765704735e+00,-3.005101898643042002e+00,9.398069171913779885e-01,3.043624683236457962e+00
1.025332962407542237e+00,-3.054838333006665962e+00,9.331368434393039202e-01,3.040050425962396830e+00
1.020362236372286402e+00,-3.104557392168370011e+00,9.264187474176968085e-01,3.036420819731034726e+00
1.015210534065208670e+00,-3.154261841471712291e+00,9.196515767126594021e-01,3.032735482735119170e+00
1.009875063008705220e+00,-3.203951165768589071e+00,9.128342398996581730e-01,3.028993066217886998e+00
1.004353858910998820e+00,-3.253617310625820380e+00,9.059656044885440185e-01,3.025193076242038703e+00
9.986447337065528229e-01,-3.303254909626987423e+00,8.990444947272627774e-01,3.021335565693267444e+00
9.927436481056596262e-01,-3.352874331032202893e+00,8.920696892521937649e-01,3.017420527974665312e+00
9.866477391789820750e-01,-3.402474937721469139e+00,8.850399185718189621e-01,3.013446834906827299e+00
9.803542851768073385e-01,-3.452054785639349088e+00,8.779538623690417154e-01,3.009413768392082744e+00
9.738629531977370801e-01,-3.501593926451874061e+00,8.708101466059203766e-01,3.005321397450551046e+00
9.671684313940308586e-01,-3.551110806944349552e+00,8.636073404128353781e-01,3.001169572581488865e+00
9.602677794404016476e-01,-3.600604652281990337e+00,8.563439527421428110e-01,2.996957198292164115e+00
9.531580322842692077e-01,-3.650074647283148455e+00,8.490184287641485694e-01,2.992683508204885712e+00
9.458390409243938590e-01,-3.699501027548203425e+00,8.416291459807281328e-01,2.988348604294766453e+00
9.383060784005654575e-01,-3.748895573578559404e+00,8.341744100290754416e-01,2.983952066527260971e+00
9.305554023215784065e-01,-3.798262275455495107e+00,8.266524501448371254e-01,2.979492528744658308e+00
9.225839618219138227e-01,-3.847600155347215889e+00,8.190614142502189443e-01,2.974969666470411056e+00
9.143912639424814914e-01,-3.896892851301937633e+00,8.113993636284632105e-01,2.970383571176133053e+00
