x_m,y_m,throttle,heading_rad
8.143387300510924742e-01,2.417453114675531367e+00,7.966213042700072133e-01,5.645712265840785449e-02
8.130941640909313817e-01,2.467369074285669317e+00,7.887488505233090086e-01,6.012058401066067148e-02
8.117599098265810831e-01,2.517275684387872747e+00,7.807970261129553169e-01,6.415243023387984245e-02
8.103005023219815861e-01,2.567169294243510702e+00,7.727633808429517082e-01,6.856405822540501127e-02
8.086796851580264622e-01,2.617067130427193966e+00,7.646453357974680731e-01,7.336829840024194915e-02
8.068615397621389240e-01,2.666966422889784027e+00,7.564401736699449819e-01,7.857744717599457474e-02
8.048109155538885062e-01,2.716842614855352611e+00,7.481450281374664169e-01,8.420040960549690645e-02
8.024912167402891150e-01,2.766706484724965165e+00,7.397568721626073263e-01,9.024623125929620571e-02
7.998656326361363034e-01,2.816562883380143933e+00,7.312725050873974952e-01,9.672880071195577578e-02
7.968975245511703553e-01,2.866408939443436221e+00,7.226885383633752102e-01,1.036562929242108577e-01
7.935540581753376399e-01,2.916208607381794771e+00,7.140013797373121474e-01,1.110355590913869595e-01
7.898037967495348255e-01,2.965990739611267468e+00,7.052072156832907002e-01,1.188729243886739173e-01
