x_m,y_m,w_tr_right_m,w_tr_left_m
-1.311457096174186265e+00,5.589269321592502671e+00,1.161252915405188713e+00,1.076964233860450371e+00
-1.361013947587972339e+00,5.559167641589349174e+00,1.170285928166389988e+00,1.071255609412914422e+00
-1.410505159236655537e+00,5.527574565650162697e+00,1.179706638439553146e+00,1.065927673539513787e+00
-1.459876664409778924e+00,5.494525092893078444e+00,1.188575652186387499e+00,1.061073569013037732e+00
-1.509074396396886453e+00,5.460054222436239613e+00,1.195891320233291477e+00,1.056694735737252033e+00
-1.558044288487521412e+00,5.424196953397788512e+00,1.200688511500607181e+00,1.052682083384501643e+00
-1.606732273971229530e+00,5.386988284895861234e+00,1.202138919539438078e+00,1.048808676206543389e+00
-1.655084286137554317e+00,5.348463216048603641e+00,1.199643981264944204e+00,1.044738566322774620e+00
-1.703046258276039504e+00,5.308656745974153601e+00,1.192903851298845685e+00,1.040053563995113617e+00
-1.750564123676229489e+00,5.267603873790652536e+00,1.181955393595874204e+00,1.034294822247821655e+00
-1.797583815627667336e+00,5.225339598616240977e+00,1.167171555130512850e+00,1.027014962338934190e+00
-1.844051267419897666e+00,5.181898919569059458e+00,1.149220644439755468e+00,1.017831717259292112e+00
-1.889912412342464654e+00,5.137316835767249401e+00,1.128989822086697625e+00,1.006475982854740048e+00
-1.935113183684911586e+00,5.091628346328949561e+00,1.107482218016966558e+00,9.928251675660459963e-01
-1.979599514736783306e+00,5.044868450372304913e+00,1.085703858660885146e+00,9.769147750522343410e-01
-2.023317338787623765e+00,4.997072147015452437e+00,1.064557482873855543e+00,9.589305897738590323e-01
-2.066212589126975807e+00,4.948274435376532665e+00,1.044756880415387723e+00,9.391812979379767778e-01
-2.108231199044385829e+00,4.898510314573688795e+00,1.026777533328256053e+00,9.180597989002303727e-01
-2.149319101829394896e+00,4.847814783725059584e+00,1.010846598350139569e+00,8.960000476747546072e-01
-2.189422230771548517e+00,4.796222841948786453e+00,9.969689391551465052e-01,8.734381417997882924e-01
-2.228486519160391310e+00,4.743769488363009934e+00,9.849807629461024838e-01,8.507821998732121305e-01
-2.266457900285465676e+00,4.690489722085871449e+00,9.746162292569759966e-01,8.283941594083916726e-01
-2.303282307436316678e+00,4.636418542235510643e+00,9.655703217739119992e-01,8.065838026949607720e-01
-2.338905673902488491e+00,4.581590947930068047e+00,9.575512547110860417e-01,7.856104419639758918e-01
-2.373273932973524847e+00,4.526041938287687749e+00,9.503098036125717796e-01,7.656901004228828800e-01
-2.406333017938969476e+00,4.469806512426505840e+00,9.436501492141655678e-01,7.470037737859482885e-01
-2.438028862088366111e+00,4.412919669464665517e+00,9.374245332094059968e-01,7.297038886999409613e-01
-2.468307398711260259e+00,4.355416408520307314e+00,9.315186158714925391e-01,7.139180036058150325e-01
